Ano,Município,Nome Oficial do Parque,Valor Conveniado,Valor Executado,Status,Data de Assinatura do Convênio,Data de Início das Obras,Data de Entrega,Área,Endereço,Coordenada x ,Coordenada y,Imagem,Maps,Habitantes
2020,Guaíra,,"R$ 1.789.016,07","R$ 1.821.470,89",Concluído,13/05/2020,18/06/2020,11/11/2021,"5.682,00","R. Amazonas, CEP:85980-000","-24,08786500","-54,24344400",,,31.971
2025,Ipiranga,,"R$ 748.716,49",-,,,,,"4.122,90","R. João Denck, Ipiranga - PR, 84450-000","-25,030345747629546","-50,58163158",,,14.230
2020,Itaguajé,,"R$ 1.045.708,23","R$ 1.078.782,03",Concluído,13/05/2020,03/07/2020,19/04/2024,"19.000,00",CEP:86670-000,"-22,57781100","-51,96011500",Git,,4.489
2025,Ivaté,,"R$ 1.450.828,30",-,,,,,"7.800,00","R. Perimetral, 4128 - Ivaté PR, 87525-000","-23,403622414047007","-53,37468169875742",,,6.771
2023,Jaguapitã,,"R$ 1.436.534,36","R$ 1.436.534,36",Em Andamento,16/11/2023,25/04/0204,-,"34.028,95","Rua Hugo Silva Pereira, Jaguapitã - PR, 86610-000","-23,11062400","-51,52747200",,,15.193
2025,Jaguariaíva,,"R$ 2.736.125,61",-,,,,,"14.962,60","R. Samir Dib - Jaguariaíva, PR, 84200-000","-24,258942074578766","-49,72512275148358",,,35.527
2020,Janiópolis,,"R$ 999.999,99","R$ 1.064.518,87",Concluído,13/05/2020,20/07/2020,12/07/2024,"25.000,00",CEP: 87380-000,"-24,14855600","-52,78709900",,,5.862
2019,Jardim Olinda,Jardim EcoParque,"R$ 751.279,10","R$ 789.091,89",Concluído,13/12/2019,21/05/2020,11/09/2023,"23.064,96","Av. Siqueira Campos, Jardim Olinda- PR, 87690-000","-22,54137280","-52,03274350",Git,"https://www.google.com/maps/place/Jardim+Eco+parque/@-22.5439055,-52.0325847,1041m/data=!3m1!1e3!4m14!1m7!3m6!1s0x949253bb502c736f:0x8920e34bd483619e!2sJardim+Eco+parque!8m2!3d-22.5439055!4d-52.0325847!16s%2Fg%2F11rssf8jxx!3m5!1s0x949253bb502c736f:0x8920e34bd483619e!8m2!3d-22.5439055!4d-52.0325847!16s%2Fg%2F11rssf8jxx?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",1.280
2025,Jataizinho,Parque das Olarias,"R$ 2.305.381,35",-,,,,,"60.500,00","Jataizinho, PR, 86210-000","-23,247003537427048","-50,973884381972454",,"https://www.google.com/maps/place/Parque+das+Olarias/@-23.2472503,-50.9767067,877m/data=!3m1!1e3!4m15!1m8!3m7!1s0x94eb3f2ad90071bd:0x5edb3a115401b41b!2sJataizinho,+PR,+86210-000!3b1!8m2!3d-23.2549447!4d-50.9793585!16s%2Fg%2F11bxg0jn__!3m5!1s0x94eb395d272e1c4b:0x10e3975f625ecb9b!8m2!3d-23.2483591!4d-50.9729221!16s%2Fg%2F11nmlztfnw?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",11.857
2019,Juranda,Parque Ecológico Municipal - Juranda,"R$ 715.496,14","R$ 715.496,14",Concluído,17/12/2019,27/05/2020,22/09/2021,"9.075,00","Rua Carajas - Juranda, Paraná","-24,41473920","-52,84505436",Git,"https://www.google.com/maps/place/Parque+Ecol%C3%B3gico+Municipal+-+Juranda/@-24.414143,-52.8448263,701m/data=!3m1!1e3!4m6!3m5!1s0x94f2717f6c2bd08b:0x20c51fead3e22337!8m2!3d-24.4153342!4d-52.8443681!16s%2Fg%2F11tbtr9jtj?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",7.773
2019,Jussara,"Parque Urbano de Jussara","R$ 909.661,38","R$ 909.661,38",Concluído,17/12/2019,19/05/2020,13/07/2022,"88.184,80","Rod. João Jorge Saad - Zona 3, Cianorte - PR, 87230-000","-23,61026390","-52,43068580",Git,"https://www.google.com/maps/place/Parque+Urbano+de+Jussara/@-23.6105649,-52.430307,1033m/data=!3m2!1e3!4b1!4m6!3m5!1s0x94ed470064c80223:0xcac04d45cc2f3d3e!8m2!3d-23.6105649!4d-52.430307!16s%2Fg%2F11y61n29v8?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",7.477
2019,Kaloré,Parque Nossa Senhora da Saúde,"R$ 415.078,56","R$ 415.078,56",Concluído,13/12/2019,17/06/2020,18/12/2023,"26.447,89","R. Castro Alves, 132, Kaloré - PR, 86920-000","-23,82272110","-51,67252560",Git,https://www.google.com/maps/place/Parque+Nossa+Senhora+da+Sa%C3%BAde/data=!4m2!3m1!1s0x0:0x750f67c41a6a6396?sa=X&ved=1t:2428&ictx=111,4.579
2025,Lapa,,"R$ 1.780.902,08",-,,,,,"25.515,40","R. Floriano Melhem Zarur - Lapa, PR, 83750-000","-25,774351123792556","-49,70816700021442",,,45.620
2019,Laranjal,,"R$ 778.520,70","R$ 778.520,70",Concluído,17/12/2019,31/07/2020,12/06/2023,"8.205,00","R. Sergipe, 872-928, Laranjal - PR, 85275-000","24,89396410","-52,47571120",Git,,5.628
2025,Lindoeste,,"R$ 3.086.521,35",-,,,,,"30.000,00","R. Casemiro Golicheske - Lindoeste - PR, 85826-000","-25,26210994492169","-53,580036907379494",,,5.147
2025,Loanda,,"R$ 3.130.368,85",-,,,,,"24.200,00","R. Rio Verde - Loanda - PR, 87900-000","-22,93664002255464","-53,14466396297937",,,23.149
2025,Lunardelli,,"R$ 2.449.622,57",-,,,,,"147.767,06","Lunardelli, PR, 86935-000","-24,09513037080952","-51,73372349502896",,,5.027
2019,Mangueirinha,Parque Ecológico Municipal de Manguerinha,"R$ 735.816,07","R$ 735.816,07",Concluído,17/12/2019,12/05/2020,05/06/2024,"36.555,00","Rua João Virgílio Viganó Viganó, Mangueirinha - PR, 85540-000","-25,93659450","-52,18505080",,,17.287
2025,Marechal Cândido Rondon,,"R$ 5.683.526,63",-,,,,,"32.055,00","Higienópolis, Mal. Cândido Rondon - PR, 85960-000","-24,53791644764392","-54,04606190629001",,,56.530
